neighbourhood,lifeexp
el Raval,80.7
el Barri Gòtic,81.4
la Barceloneta,80.3
"Sant Pere, Santa Caterina i la Ribera",82
el Fort Pienc,84.3
la Sagrada Família,84.6
la Dreta de l'Eixample,82.9
l'Antiga Esquerra de l'Eixample,84.2
la Nova Esquerra de l'Eixample,85.2
Sant Antoni,84
el Poble-sec,82.8
la Marina del Prat Vermell,
la Marina de Port,83.9
la Font de la Guatlla,81.7
Hostafrancs,83.7
la Bordeta,83.8
Sants - Badal,85.1
Sants,84.1
les Corts,85.5
la Maternitat i Sant Ramon,86.5
Pedralbes,86.2
"Vallvidrera, el Tibidabo i les Planes",80.6
Sarrià,84.5
les Tres Torres,86.2
Sant Gervasi - la Bonanova,84.9
Sant Gervasi - Galvany,84.7
el Putxet i el Farró,85.6
Vallcarca i els Penitents,83.9
el Coll,85.2
la Salut,82.6
la Vila de Gràcia,83.4
el Camp d'en Grassot i Gràcia Nova,84.7
el Baix Guinardó,84.2
Can Baró,84.1
el Guinardó,84.5
la Font d'en Fargues,83.5
el Carmel,83.8
la Teixonera,84
Sant Genís dels Agudells,83.8
Montbau,80.9
la Vall d'Hebron,83.3
la Clota,
Horta,83.6
Vilapicina i la Torre Llobeta,83.6
Porta,84.5
el Turó de la Peira,85.6
Can Peguera,80
la Guineueta,84.2
Canyelles,83.1
les Roquetes,81.9
Verdun,83.2
la Prosperitat,84.5
la Trinitat Nova,80.1
Torre Baró,77.2
Ciutat Meridiana,83.7
Vallbona,
la Trinitat Vella,85.1
Baró de Viver,80.3
el Bon Pastor,82.2
Sant Andreu,84.7
la Sagrera,85.4
el Congrés i els Indians,84.8
Navas,86.3
el Camp de l'Arpa del Clot,85
el Clot,85.1
el Parc i la Llacuna del Poblenou,83.2
la Vila Olímpica del Poblenou,85.4
el Poblenou,83.5
Diagonal Mar i el Front Marítim del Poblenou,85.3
el Besòs i el Maresme,83.1
Provençals del Poblenou,85.1
Sant Martí de Provençals,83.9
la Verneda i la Pau,83.9
